Woord	"Woord, artikel (extra info)"	Voorbeeldzin	Traduzione
aandacht = de attentie	"aandacht = de attentie, de"	"Als de lesgever iets uitlegt, luisteren alle cursisten met veel aandacht, want ze willen alles begrijpen."	"Quando l'insegnante spiega qualcosa, tutti gli studenti ascoltano con molta attenzione, perché vogliono capire tutto."
af en toe	af en toe	"Ik ga af en toe op bezoek bij mijn grootouders. Maar ik zou vaker willen gaan, het is altijd gezellig."	"Vado a trovare i miei nonni ogni tanto. Ma vorrei andarci più spesso, è sempre piacevole."
beëindigen	"beëindigen (beëindigde, h. beëindigd)"	Tim heeft zijn relatie met Suzanne beëindigd. Hij kon niet meer met haar samenleven.	Tim ha interrotto la sua relazione con Suzanne. Non riusciva più a convivere con lei.
bekijken	"bekijken (bekeek, h. bekeken)"	Ik ga naar het autosalon om de nieuwe automodellen te bekijken.	Vado al salone dell'auto per vedere i nuovi modelli di automobili.
binnenkort	binnenkort (adv)	Wij verhuizen binnenkort naar Antwerpen. We wonen hier nog 2 weken en dan zijn we weg.	"Presto ci trasferiremo ad Anversa. Vivremo qui ancora per 2 settimane, poi ce ne andremo."
blind	blind	Paula kan niets zien. Ze is blind. Ze is blind geboren.	Paula non può vedere nulla. È cieca. È nata cieca.
dagelijks	dagelijks	Zij gaat elke avond met de hond in het park wandelen. Dat is voor haar een dagelijkse activiteit.	Ogni sera lei va a passeggiare con il cane nel parco. Questa è per lei un'attività quotidiana.
eergisteren	eergisteren (adv)	Vandaag is het woensdag. Eergisteren (maandag dus) heb ik mijn postpakket teruggestuurd.	"Oggi è mercoledì. L'altro ieri (lunedì, quindi) ho restituito il mio pacco postale."
eeuw	"eeuw, de [-en]"	In de 19e eeuw had België veel minder inwoners dan nu.	Nel XIX secolo il Belgio aveva molti meno abitanti rispetto ad oggi.
eindigen	"eindigen (eindigde, is geëindigd)"	De cursus eindigt op 21 maart. Dan hebben we de eindtest.	Il corso termina il 21 marzo. Poi faremo il test finale.
geluid	"geluid, het [-en]"	Ik hoor iets raars. Wat is dat rare geluid?	Sento qualcosa di strano. Che cos'è quel rumore strano?
geregeld	geregeld (adv)	Hij gaat geregeld naar de sportschool om fit te blijven: 3 keer per week.	Lui va regolarmente in palestra per mantenersi in forma: 3 volte alla settimana.
geur	"geur, de [-en]"	Ik hou van de geur van deze bloemen: ze ruiken echt lekker. - De geur van rotte vis is afschuwelijk!	Amo il profumo di questi fiori: hanno un odore davvero piacevole. - L'odore di pesce marcio è disgustoso!
herkennen	"herkennen (herkende, h. herkend)"	We hebben elkaar 10 jaar niet gezien. Maar toch herken ik jou. Je bent niet zo veel veranderd.	Non ci vediamo da 10 anni. Eppure ti riconosco. Non sei cambiato molto.
