Woord	"Woord, artikel (extra info)"	Voorbeeldzin	Traduzione
aankleden	"aankleden (kleedde aan, h. aangekleed) - meestal reflexief: zich aankleden"	"Hij kleedde zich warm aan, want het was koud buiten. (Hij deed warme kleren aan)"	Si vestì caldo perché faceva freddo fuori.
achteruit	achteruit (adv)	Je staat veel te dicht. Doe een stap achteruit aub.	Sei troppo vicino. Fai un passo indietro per favore.
actie	"actie, de"	De school verkocht oude boeken om speelgoed voor de arme buren te kunnen kopen. Dat was een mooie actie.	La scuola ha venduto libri vecchi per comprare giocattoli per i vicini poveri. È stata una bella iniziativa.
activiteit	"activiteit, de [-en]"	"In onze buurt organiseren de mensen vaak leuke activiteiten in het weekend: een picknick, een concertje, ..."	"Nel nostro quartiere, le persone organizzano spesso attività divertenti nel fine settimana: un picnic, un piccolo concerto, ecc."
afhalen	afhalen	We hebben via de telefoon sushi besteld in de sushibar en we mogen de sushi binnen een half uur afhalen.	Abbiamo ordinato sushi al telefono dal sushi bar e possiamo ritirarlo tra mezz’ora.
belangstelling (voor) = de interesse (in/voor)	"belangstelling (voor) = de interesse (in/voor), de"	Katrien heeft veel belangstelling voor Griekse antieke kunst. Ze gaat ook altijd op reis naar Griekenland om daar musea te bezoeken.	Katrien ha molto interesse per l’arte antica greca. Va spesso in Grecia per visitare i musei.
beurt	"beurt, de [-en] + aan de beurt zijn"	Er zijn veel klanten bij de bakker. De bakker vraagt: Wie is er aan de beurt? Wie is de volgende?	"Ci sono molti clienti dal panettiere. Il panettiere chiede: ""Chi è il prossimo? Chi è in turno?"""
beweging	"beweging, de [-en]"	De dokter vraagt: 'Doet het pijn als je je arm beweegt? Heb je pijn bij deze beweging?'	"Il dottore chiede: ""Fa male quando muovi il braccio? Senti dolore con questo movimento?"""
bezig zijn (met) = in de weer zijn (met)	"bezig zijn (met) = in de weer zijn (met) (was bezig, is bezig geweest)"	Je mag de dokter nu niet storen. Hij is bezig met een operatie. Hij is iemand aan het opereren.	Non puoi disturbare il dottore adesso. È impegnato in un’operazione. Sta operando qualcuno.
bijdrage	"bijdrage, de [-s/-n]"	"Als je lid wil worden van onze schaakclub, moet je elk jaar een bijdrage van 40 euro betalen."	"Se vuoi diventare membro del nostro club di scacchi, devi pagare ogni anno una quota di 40 euro."
binnengaan	"binnengaan (ging binnen, is binnengegaan)"	"Sofie ging de klas binnen, nadat ze op de deur geklopt had."	Sofie è entrata in classe dopo aver bussato alla porta.
binnenkomen	"binnenkomen (kwam binnen, is binnengekomen)"	Ze deed de deur open en zei aan de gasten: 'Kom maar binnen!'	"Aprì la porta e disse agli ospiti: ""Entrate pure!"""
buigen	"buigen (boog, h. gebogen)"	"Na het concert bogen de muzikanten voor het publiek. - Ben jij zo sterk dat je deze lepel kan buigen? Oei, nu is de lepel helemaal krom!"	"Dopo il concerto, i musicisti si inchinarono al pubblico. – Sei così forte da piegare questo cucchiaio? Oh no, il cucchiaio è completamente piegato!"
concert	"concert, het [-en]"	Ik ga vaak naar concerten van klassieke muziek.	Vado spesso a concerti di musica classica.
dichtdoen = toedoen	"dichtdoen = toedoen (deed dicht, h. dichtgedaan)"	Ik heb het een beetje koud. Mag ik het raam dichtdoen?	Ho un po’ freddo. Posso chiudere la finestra?
doen in 	"doen in (deed in, h. in gedaan)"	Doe jij suiker in je koffie of drink je koffie zonder suiker?	Metti lo zucchero nel caffè o lo bevi senza zucchero?
dragen	"dragen (droeg, h. gedragen)"	"Deze tas is heel zwaar. Geef hem aan mij, ik zal hem voor je dragen. - Linda draagt het liefst zwarte kleren. Ze heeft meestal zwarte kleren aan."	"Questa borsa è molto pesante. Dammi, la porterò per te. – Linda preferisce indossare vestiti neri. Di solito indossa abiti neri."
duwen	"duwen (duwde, h. geduwd)"	"Als je tegen deze deur duwt, gaat hij open."	"Se spingi questa porta, si apre."
geïnteresseerd (in)	geïnteresseerd (in)	Ik ben geïnteresseerd in kunstgeschiedenis en leer er graag meer over.	Sono interessato alla storia dell’arte e mi piace imparare di più su di essa.
geluk hebben	"geluk hebben (had geluk, h. geluk gehad)"	Ik was mijn portemonnee kwijt. Ik had geluk dat iemand mijn portemonnee gevonden heeft en naar de politie gebracht heeft.	Avevo perso il portafoglio. Sono stato fortunato che qualcuno lo abbia trovato e portato alla polizia.
glimlachen	"glimlachen (glimlachte, h. geglimlacht)"	Misha voelde zich gelukkig en blij met haar gezin aan tafel. Ze glimlachte.	Misha si sentiva felice e contenta con la sua famiglia a tavola. Sorrise.
het druk hebben	"het druk hebben (had het druk, h. het druk gehad)"	"Ik kan nu niet mee met jullie naar de bioscoop, want ik heb het veel te druk (ik heb heel veel werk)."	"Non posso venire al cinema con voi ora, sono troppo impegnato (ho molto lavoro)."
instrument	"instrument, het [-en]"	"Paul speelt veel instrumenten: hij speelt gitaar, piano, hobo en klarinet."	"Paul suona molti strumenti: chitarra, pianoforte, oboe e clarinetto."
interesse (in/voor)	"interesse (in/voor), de [-s]"	Clara heeft veel interesse voor/in literatuur. Ze leest veel boeken en ze kent alle belangrijke schrijvers.	Clara ha molto interesse per la letteratura. Legge molti libri e conosce tutti gli autori importanti.
interesseren	"interesseren (interesseerde, h. geïnteresserd)"	Haar verhalen over haar verre reizen naar exotische landen interesseren me enorm.	Le sue storie sui suoi viaggi in terre esotiche mi interessano enormemente.
internet	"internet, het"	Op het internet kan je veel informatie vinden. Je moet wel kritisch blijven.	Su internet puoi trovare molte informazioni. Devi però rimanere critico.
kaart	"kaart, de [-en] wenskaart/ plattegrond/ speelkaart"	Ik heb haar een mooi kaartje voor haar verjaardag gestuurd./ Op deze kaart zie je waar het museum is./ Heb je goede kaarten om te winnen?	Le ho inviato un bel biglietto per il suo compleanno./ Su questa cartina puoi vedere dove si trova il museo./ Hai buone carte per vincere?
kaarten = kaartspelen	"kaarten = kaartspelen (kaartte, h. gekaart)"	Ik kaart niet graag. Ik vind kaarten iets voor oude mensen en ik verlies ook altijd.	Non mi piace giocare a carte. Trovo che sia qualcosa per anziani e perdo sempre.
kaartspelen	"kaartspelen (speelde kaart, h. kaartgespeeld) = kaarten"	Ik speel niet graag kaart. Ik vind kaartspelen iets voor oude mensen en ik verlies ook altijd.	Non gioco volentieri a carte. Credo che sia un’attività da anziani e perdo sempre.
klimmen	"klimmen (klom, h./is geklommen)"	Klimmen is een leuke maar moeilijke sport. Je kan oefenen op een klimmuur. Of je kan in een boom klimmen.	Arrampicare è uno sport divertente ma difficile. Puoi allenarti su una parete da arrampicata. Oppure puoi arrampicarti su un albero.
kloppen	"kloppen (klopte, h. geklopt)"	De bel is van de voordeur is kapot. Je zal op de deur moeten kloppen.	Il campanello della porta d’ingresso è rotto. Dovrai bussare alla porta.
knikken	"knikken (knikte, h. geknikt)"	Hij knikte (met zijn hoofd) om te tonen dat hij akkoord ging met ons voorstel.	Annuì (con la testa) per mostrare di essere d’accordo con la nostra proposta.
kruipen	"kruipen (kroop, h./ is gekropen)"	"De baby kan nog niet stappen, maar kan wel heel goed en snel kruipen."	"Il bambino non sa ancora camminare, ma sa gattonare molto bene e velocemente."
lid	"lid, het [leden]"	Yasmina is lid van een schaakclub. Elke zondagavond gaat ze schaken.	Yasmina è membro di un club di scacchi. Ogni domenica sera va a giocare a scacchi.
loslaten	"loslaten (liet los, h. losgelaten)"	We hebben vogel met een gebroken poot goed verzorgd en nu gaan we hem weer loslaten. - Ouders vinden het soms moeilijk hun kinderen los te laten.	Abbiamo curato bene l’uccello con una zampa rotta e ora lo liberiamo di nuovo. – A volte i genitori trovano difficile lasciare andare i propri figli.
meekomen	"meekomen (kwam mee, is meegekomen)"	"Als ze willen, mogen je kinderen meekomen naar het feestje. Er is genoeg plaats."	"Se vogliono, i tuoi bambini possono venire alla festa. C’è abbastanza spazio."
moeite	"moeite, de"	"Dit gaat niet vanzelf. Je moet een beetje moeite doen. - Ik heb moeite met lawaai, ik kan daar niet goed tegen. - Ze doet veel moeite om het hier gezellig te maken."	"Questo non succede da solo. Devi fare un po’ di sforzo. – Faccio fatica con il rumore, non lo sopporto bene. – Fa molti sforzi per rendere accogliente questo posto."
neerleggen	"neerleggen (legde neer, h. neergelegd)"	Hij ondertekende het formulier en legde dan de pen weer neer.	Firmò il modulo e poi posò di nuovo la penna.
neerzetten	"neerzetten (zette neer, h. neergezet)"	"De plaats van de stoel is daar, bij de tafel. Je mag de stoel daar neerzetten."	"Il posto della sedia è lì, vicino al tavolo. Puoi metterla lì."
omdraaien = omkeren	"omdraaien = omkeren (draaide om, h. omgedraaid)"	"Ik weet niet wat er op de achterkant van dit blad staat. Wacht, ik zal het blad omdraaien, dan kunnen we het zien."	"Non so cosa c’è sul retro di questo foglio. Aspetta, lo girerò e potremo vedere."
ontwikkelen	"ontwikkelen (ontwikkelde, h. ontwikkeld)"	"Als kinderen veel boeken lezen, kan dit helpen om hun gevoel voor taal te ontwikkelen."	"Se i bambini leggono molti libri, questo può aiutare a sviluppare il loro senso per la lingua."
op en neer	op en neer	Onze hond is superblij! Hij springt op en neer	Il nostro cane è super felice! Salta su e giù.
opendoen	"opendoen (deed open, h. opengedaan)"	Er heeft iemand aan de deur gebeld. Wil jij de deur opendoen?	Qualcuno ha suonato alla porta. Vuoi aprire tu?
plezier	"plezier, het"	We hebben altijd veel plezier als we met de familie samen zijn. Er wordt veel gelachen.	Ci divertiamo sempre molto quando siamo insieme in famiglia. Si ride tanto.
pop 	"pop, de [-pen]"	Laïla wordt 6 jaar. We geven haar een mooie pop als cadeau.	Laïla compie 6 anni. Le regaliamo una bella bambola.
rust	"rust, de"	Iedereen heeft af en toe rust nodig. Je kan niet de hele tijd bezig zijn.	Ognuno ha bisogno di riposo ogni tanto. Non si può essere occupati tutto il tempo.
rusten	"rusten (rustte, h. gerust)"	"Als je zo ver met de auto moet rijden, moet je af en toe eens rusten."	"Se devi guidare così tanto, devi riposarti ogni tanto."
scheuren	"scheuren (scheurde, h. gescheurd)"	"Ik vond mijn tekening niet mooi. Ik heb de tekening gescheurd. De stukken papier liggen op de grond. - Oei, ik heb mijn broek gescheurd. Kan je mijn broek naaien?"	"Non mi piaceva il mio disegno. L’ho strappato. I pezzi di carta sono a terra. – Oh no, ho strappato i miei pantaloni. Puoi cucirli?"
schilderen	"schilderen (schilderde, h. geschilderd)"	-	
schudden	"schudden (schudde, h. geschud)"	Hier is een flesje sinaasappelsap. Je moet het flesje eerst goed schudden en daarna pas opendoen.	Ecco una bottiglietta di succo d’arancia. Devi prima agitarla bene e poi aprirla.
slaap	"slaap, de"	Kinderen hebben veel slaap nodig. - Ik was gisteren heel moe en ik ben voor de tv in slaap gevallen.	I bambini hanno bisogno di molto sonno. – Ieri ero molto stanco e mi sono addormentato davanti alla TV.
slag	"slag, de [-en]"	Hij heeft de buurman geslagen. Hij heeft hem een slag in zijn gezicht gegeven.	Ha colpito il vicino. Gli ha dato un pugno in faccia.
spel	"spel, het"	Heb je zin om een spel te spelen? Risk of Uno of Pictionary?	"Ti va di fare un gioco? Risk, Uno o Pictionary?"
springen	"springen (sprong, h./is gesprongen)"	"We kunnen thuis geen eten op tafel laten liggen, want onze kat kan gemakkelijk op de tafel springen."	"A casa non possiamo lasciare cibo sul tavolo, perché il nostro gatto può facilmente saltarci sopra."
steken in	"steken in (stak in, h. in gestoken)"	Dit boek is niet van mij! Heb jij dat boek in mijn rugzak gestoken? - Steek het geld in je portefeuille!	Questo libro non è mio! Hai messo tu quel libro nel mio zaino? – Metti i soldi nel portafoglio!
stoppen in = steken in = doen in	"stoppen in = steken in = doen in (stopte in, h. ingestopt)"	"Hier zijn je sleutels! Stop ze maar in je zak, zodat je ze niet meer kwijt raakt. - Wie heeft dat boek in mijn rugzak gestoken?"	"Ecco le tue chiavi! Mettile in tasca, così non le perdi più. – Chi ha messo quel libro nel mio zaino?"
teken	"teken, het [-s]"	"Sahya zit stil in de zetel. Dat is niet normaal voor haar. Het is een teken dat zezich niet goed voelt. - Ik ga een teken geven als je mag vertrekken: kijk naar mijn hand, het zal duidelijk zijn."	"Sahya è immobile sulla poltrona. Non è normale per lei. È un segno che non si sente bene. – Ti darò un segnale quando potrai partire: guarda la mia mano, sarà chiaro."
tekenen	"tekenen (tekende, h. getekend)"	Lalitha kan goed tekenen. Geef haar een blad papier en een potlood en ze kan uren tekenen.	"Lalitha sa disegnare bene. Dagli un foglio e una matita, e può disegnare per ore."
teruggaan 	"teruggaan (ging terug, is teruggegaan)"	Ik ben een beetje moe. Ik ga terug naar huis.	Sono un po’ stanco. Torno a casa.
terugkomen	"terugkomen (kwam terug, is teruggekomen)"	Ze zijn 2 weken op reis geweest en morgen komen ze terug. Ik zal blij zijn ze te zien!	Sono stati in viaggio per due settimane e domani tornano. Sarò felice di vederli!
terugkrijgen	"terugkrijgen (kreeg terug, h. teruggekregen)"	"Sander heeft gisteren zijn pen aan Max geleend, maar hij heeft hem nog niet teruggekregen."	"Sander ha prestato la sua penna a Max ieri, ma non l’ha ancora riavuta indietro."
terugzetten = terugplaatsen	"terugzetten = terugplaatsen (zette terug, h. teruggezet)"	Heb jij deze boeken uit de boekenkast genomen? Wil je ze straks op hun juiste plaats terugzetten?	Hai preso questi libri dalla libreria? Potresti rimetterli al loro posto più tardi?
thuisblijven	"thuisblijven (bleef thuis, is thuisgebleven)"	Voel je je niet goed? Dan kan je beter thuisblijven. Ik zal naar je werk bellen dat je vandaag niet komt.	Non ti senti bene? Allora è meglio che resti a casa. Chiamerò il tuo lavoro per dire che oggi non vai.
thuiskomen	"thuiskomen (kwam thuis, is thuisgekomen)"	Hoe laat ben je gisteren thuisgekomen? Ik sliep al en heb niets gehoord.	A che ora sei tornato a casa ieri sera? Io dormivo già e non ho sentito nulla.
toedoen	"toedoen (deed toe, h. toegedaan)"	Het werd donker. Ze deed de gordijnen toe.	Stava diventando buio. Chiuse le tende.
tonen	"tonen (toonde, h. getoond) (B)"	Bij de controle van de douane moesten we onze identiteitskaart tonen.	Durante il controllo alla dogana abbiamo dovuto mostrare la nostra carta d’identità.
trekken	"trekken (trok, h. getrokken)"	"We moesten heel hard aan de deur trekken om hem open te doen, want hij zat vast."	"Abbiamo dovuto tirare molto forte la porta per aprirla, perché era bloccata."
uitgaan	"uitgaan (ging uit, is uitgegaan)"	Lorena houdt van uitgaan: elke zaterdag gaat ze op café en daarna gaat ze dansen.	Lorena ama uscire: ogni sabato va al bar e poi va a ballare.
uitkleden	"uitkleden (kleedde uit, h. uitgekleed) - meestal reflexief: zich uitkleden"	Ik ga een douche nemen. Ik kleed me uit (/ ik doe mijn kleren uit).	Vado a fare una doccia. Mi spoglio (/ mi tolgo i vestiti).
verbergen = verstoppen	"verbergen = verstoppen (verborg, h. verborgen)"	Ze weet niet meer waar haar spaargeld is. Misschien heeft ze het onder haar matras verborgen?	Non ricorda più dove ha messo i suoi risparmi. Forse li ha nascosti sotto il materasso?
verlaten	"verlaten (verliet, h. verlaten)"	Boris is verliefd geworden op Jasmien. Hij heeft zijn vrouw verlaten en woont nu samen met Jasmien.	Boris si è innamorato di Jasmien. Ha lasciato sua moglie e ora vive con Jasmien.
verstoppen	"verstoppen (verstopte, h. verstopt)"	Ik wil niet dat mijn kinderen mijn oude liefdesbrieven vinden. Ik ga ze in mijn kleerkast verstoppen.	Non voglio che i miei figli trovino le mie vecchie lettere d’amore. Le nasconderò nel mio armadio.
verwijderen	"verwijderen (verwijderde, h. verwijderd)"	Ik heb wijn op mijn broek gemorst. Ik wil dat die wijnvlek weg is. Weet jij hoe je een wijnvlek kan verwijderen?	Ho versato vino sui pantaloni. Voglio che quella macchia di vino sparisca. Sai come si può rimuovere una macchia di vino?
verzamelen	"verzamelen (verzamelde, h. verzameld)"	Zijn hobby is postzegels verzamelen. Hij heeft al een mooie verzameling.	Il suo hobby è collezionare francobolli. Ha già una bella collezione.
vooruit	vooruit (adv)	Kom maar! Je kan hier vooruit rijden en in de garage parkeren.	Avanti! Puoi guidare fino a qui e parcheggiare in garage.
vrije tijd	"vrije tijd, de"	In mijn vrije tijd geniet ik van wandelingen in de natuur.	Nel tempo libero mi piace fare passeggiate nella natura.
zich bezighouden (met)	"zich bezighouden (met) (hield zich bezig, h. zich beziggehouden)"	In het weekend houdt hij zich graag bezig met tuinieren. Werken in de tuin vindt hij leuk	Nel fine settimana gli piace dedicarsi al giardinaggio. Lavorare in giardino lo diverte.
zich haasten = opschieten zich	"haasten = opschieten (haastte zich, h. zich gehaast)"	We moeten ons haasten! De trein vertrekt binnen 15 minuten en we moeten nog naar het station stappen.	Dobbiamo sbrigarci! Il treno parte tra 15 minuti e dobbiamo ancora andare alla stazione.
zich inspannen	"zich inspannen (spande zich in, h. zich ingespannen"	"Als je wil slagen voor het examen, moet je je inspannen. - Hij spant zich altijd in om een goede sfeer te creëren."	"Se vuoi superare l’esame, devi impegnarti. - Si impegna sempre per creare un’atmosfera positiva."
zich interesseren voor	"zich interesseren voor (interesserde zich voor, h. zich geïnteresseerd voor)"	Hij interesseert zich voor planten en bomen. Hij gaat volgend jaar biologie studeren.	Si interessa di piante e alberi. L’anno prossimo studierà biologia.
zich omdraaien = zich omkeren	"zich omdraaien = zich omkeren (draaide zich om, h. zich omgedraaid)"	Richard realiseerde zich plots dat hij iets vergeten had. Hij draaide zich om en keerde terug naar huis om het te halen	Richard si è improvvisamente reso conto di aver dimenticato qualcosa. Si è girato ed è tornato a casa a prenderlo.
