Woord	"Woord, artikel (extra info)"	Voorbeeldzin	Traduzione
(zich) voorstellen	"(zich) voorstellen (stelde zich voor, h. zich voorgesteld)"	De nieuwe directeur kwam binnen en stelde zich voor: nu weten we hoe hij heet en wat zijn plannen zijn.	Il nuovo direttore è entrato e si è presentato: ora sappiamo come si chiama e quali sono i suoi piani.
aanbieden	"aanbieden (bood aan, h. aangeboden)"	Willen jullie iets drinken? Kan ik jullie een drankje aanbieden?	Volete qualcosa da bere? Posso offrirvi una bevanda?
afspreken	"afspreken (sprak af, h. afgesproken)"	Wanneer spreken we nog eens af? Ik wil graag met jou in de stad wandelen en een koffie drinken.	Quando ci vediamo di nuovo? Mi piacerebbe passeggiare con te in città e prendere un caffè.
amuseren = vermaken	"amuseren = plezier geven (amuseerde, h. geamuseerd)"	Opa en oma amuseerden hun kleinkinderen met leuke verhalen over vroeger.	Nonni e nonne hanno divertito i loro nipoti con storie interessanti sul passato.
angst = de vrees	"angst = de vrees, de [-en]"	Helena heeft angst om te vliegen. Ze is altijd bang dat er iets met het vliegtuig gaat gebeuren.	Helena ha paura di volare. Ha sempre paura che succeda qualcosa all'aereo.
band = de verhouding	"band = de verhouding, de [-en]"	Oskar en zijn zus hebben een mooie band: ze zijn altijd blij als ze elkaar zien.	Oskar e sua sorella hanno un bel legame: sono sempre felici quando si vedono.
beurt	"beurt, de [-en] + aan de beurt zijn"	Er zijn veel klanten bij de bakker. De bakker vraagt: Wie is er aan de beurt? Wie is de volgende?	Ci sono molti clienti dal panettiere. Il panettiere chiede: chi tocca? Chi è il prossimo?
burger	"burger, de [-s]"	De meeste burgers van deze stad zijn tevreden met het nieuwe verkeersplan.	La maggior parte dei cittadini di questa città è soddisfatta del nuovo piano del traffico.
dankbaar	dankbaar	Mijn familie heeft voor mij een mooi verrassingsfeest georganiseerd. Ik ben hen heel dankbaar.	La mia famiglia ha organizzato per me una bella festa a sorpresa. Sono molto grato a loro.
deelnemen (aan)	"deelnemen (aan) (nam deel, h. deelgenomen)"	Heb je zin om deel te nemen aan de quiz van het werk? Dan schrijf ik je in.	Ti va di partecipare al quiz sul lavoro? Allora ti iscrivo.
depressief	depressief	"Myriam heeft geen zin om op te staan, ze heeft geen honger, ze voelt zich slecht, ze denkt dat het nooit beter wordt. Ze voelt zich depressief."	"Myriam non ha voglia di alzarsi, non ha fame, si sente male, pensa che non starà mai meglio. Si sente depressa."
dol zijn op = gek zijn op	dol zijn op = gek zijn op	Suzanne is dol op ijsjes. Ze zou de hele dag ijsjes kunnen eten. - Herman is dol op zijn vrouw. Hij ziet haar super graag.	Suzanne adora i gelati. Potrebbe mangiare gelati tutto il giorno. – Herman adora sua moglie. La ama moltissimo.
duwen	"duwen (duwde, h. geduwd)"	"Als je tegen deze deur duwt, gaat hij open."	"Se spingi questa porta, si apre."
eenzaam	eenzaam	"Ik voel me soms eenzaam, want ik woon alleen en ik heb niet veel contact met andere mensen."	"A volte mi sento solo, perché vivo da solo e ho pochi contatti con altre persone."
gek zijn op	gek zijn op	"Ik ben gek op zwemmen. Als ik zou kunnen, zou ik elke dag zwemmen. Het maakt me gelukkig. - Wij zijn gek op chocolade! Wij vinden chocolade super lekker!"	"Adoro nuotare. Se potessi, nuoterei ogni giorno. Mi rende felice. – Noi adoriamo il cioccolato! Lo troviamo super buono!"
gemeenschappelijk	gemeenschappelijk	In dit studentenhuis is er een gemeenschappelijke ruimte waar de studenten samen iets kunnen drinken en spelletjes spelen.	In questa casa per studenti c’è uno spazio comune dove gli studenti possono bere qualcosa insieme e giocare.
generatie	"generatie, de [-s]"	De jongere generatie heeft minder problemen met technologie dan de oudere generatie.	Le generazioni più giovani hanno meno problemi con la tecnologia rispetto a quelle più anziane.
gevoelig	gevoelig	Claus is heel gevoelig: hij heeft sterke emoties en voelt het verdriet van anderen.	Claus è molto sensibile: ha emozioni forti e sente la tristezza degli altri.
gewoonte	"gewoonte, de [-s/-n]"	Saskia heeft de gewoonte om elke avond in bed nog een beetje te lezen.	Saskia ha l'abitudine di leggere un po' ogni sera a letto.
glimlachen	"glimlachen (glimlachte, h. geglimlacht)"	Hij keek vriendelijk naar haar en zij glimlachte terug.	Lui le guardò gentilmente e lei gli sorrise.
haten	"haten (haatte, h. gehaat)"	Ik hou absoluut niet van sport. Ik haat sport!	Non mi piace affatto fare sport. Lo odio!
hoop	"hoop, de"	Je moet blijven zoeken. Je mag niet denken dat je het niet gaat vinden. Je mag de hoop niet verliezen.	Devi continuare a cercare. Non devi pensare di non trovarlo. Non devi perdere la speranza.
Individueel	Individueel	"Het is de bedoeling dat je deze oefening individueel maakt, niet met 2 en niet in groepjes."	"L’intento è che tu faccia questo esercizio da solo, non in due né in gruppo."
indruk	"indruk, de [-ken]"	"Ik heb de indruk (/het idee) dat je liever niet wil meegaan. Klopt het? Je mag het zeggen, hoor."	"Ho l'impressione che tu non voglia venire. È vero? Puoi dirmelo, sai."
jaloers (op)	jaloers (op)	De man van Micheline is heel jaloers. Micheline mag niet met andere mannen praten. - We zijn jaloers op de grote tuin van de buren. Wij hebben een kleine tuin en zouden ook graag een grote tuin hebben.	Il marito di Micheline è molto geloso. Micheline non può parlare con altri uomini. – Siamo gelosi del grande giardino dei vicini. Noi abbiamo un giardino piccolo e vorremmo tanto averne uno grande.
jongere	"jongere, de [-n]"	Heel veel jongeren zijn tegenwoordig verslaafd aan hun gsm.	Molti giovani oggi sono dipendenti dal loro cellulare.
kennis	"kennis, de [-sen], iemand die je kent, geen vriend"	Het is een groot feest. Niet alleen voor vrienden en familie. Ook kennissen zijn welkom.	È una grande festa. Non solo per amici e parenti. Anche conoscenti sono i benvenuti.
kennismaken (met)	"kennismaken (met) (maakte kennis, h. kennisgemaakt)"	Op vakantie hebben we kennisgemaakt met een vriendelijke operazanger.	In vacanza abbiamo conosciuto un cantante d'opera gentile.
liefde	"liefde, de [-s]"	Zij houden heel veel van elkaar. Zij voelen veel liefde voor elkaar. - Wat vind jij belangrijker in een huwelijk? Liefde of respect?	Si amano moltissimo. Provano molto amore l’uno per l’altro. – Cosa trovi più importante in un matrimonio? L’amore o il rispetto?
maatregel	"maatregel, de [-en/-s]"	De burgemeester wil maatregelen nemen om het verkeer in de stad veiliger te maken.	Il sindaco vuole prendere provvedimenti per rendere il traffico in città più sicuro.
maatschappelijk = sociaal	maatschappelijk (adj)	Goed onderwijs is een belangrijk maatschappelijk thema: met goed onderwijs kan de maatschappij beter functioneren.	Una buona istruzione è un tema sociale importante: con una buona istruzione la società può funzionare meglio.
maatschappij = de samenleving	"maatschappij = de samenleving , de [-en]"	In onze moderne maatschappij is er te weinig aandacht voor de ouderen.	Nella nostra società moderna c’è poca attenzione per gli anziani.
meedoen (aan) = deelnemen	"meedoen (aan) = deelnemen (deed mee, h. meegedaan)"	Heb je zin om mee te doen aan de quiz van de school? De meeste cursisten van onze groep doen ook mee.	Ti va di partecipare al quiz della scuola? La maggior parte dei corsisti del nostro gruppo partecipa.
nationaal	nationaal	Volg jij de nationale voetbalcompetitie? Welke ploeg wordt volgens jouw de nationale kampioen?	Segui il campionato nazionale di calcio? Quale squadra pensi diventerà campione nazionale?
nerveus	nerveus	Straks weten we of we geslaagd zijn voor het examen. Ik ben heel nerveus.	Tra poco sapremo se abbiamo superato l’esame. Sono molto nervoso.
ongelukkig	ongelukkig	Ludwig wil me nooit meer zien. Dat maakt me heel ongelukkig.	Ludwig non vuole più vedermi. Questo mi rende molto infelice.
organisatie	"organisatie, de [-s] het organiseren, het regelen"	De organisatie van het feest ging heel vlot. Dat kwam omdat iedereen meehielp.	L’organizzazione della festa è andata molto bene. Questo perché tutti hanno aiutato.
oudere	"oudere, de [-n]"	"Veel ouderen voelen zich eenzaam, omdat ze vaak alleen thuis zitten."	"Molti anziani si sentono soli, perché stanno spesso soli a casa."
overleggen	"overleggen (overlegde, h. overlegd)"	Wanneer kunnen we eens overleggen over dit project? Ik wil graag alle opinies horen.	Quando possiamo confrontarci su questo progetto? Mi piacerebbe sentire tutte le opinioni.
plezier	"plezier, het"	We hebben altijd veel plezier als we met de familie samen zijn. Er wordt veel gelachen.	Ci divertiamo sempre molto quando siamo insieme in famiglia. Si ride molto.
regelen	"regelen (regelde, h. geregeld)"	Tom en Sara vertrekken volgende week op reis. Maar ze moeten nog hun visum regelen.	Tom e Sara partiranno la prossima settimana per un viaggio. Ma devono ancora organizzare il visto.
rekenen op	"rekenen op (rekende op, h. gerekend op)"	"Als je hulp nodig hebt, kan je altijd op me rekenen. Ik zal je altijd helpen."	"Se hai bisogno di aiuto, puoi sempre contare su di me. Ti aiuterò sempre."
rekening houden met	rekening houden met	Op het tuinfeest moeten we rekening houden met de buren: we mogen niet te veel lawaai maken.	Alla festa in giardino dobbiamo considerare i vicini: non possiamo fare troppo rumore.
samenleving	"samenleving, de (-en)"	In onze samenleving moeten we proberen samen te leven met mensen van verschillende culturen.	Nella nostra società dobbiamo cercare di convivere con persone di diverse culture.
schrikken	"schrikken (schrok, is geschrokken)"	Gisterenavond kwam ik thuis en er stond een paard in de gang. Ik ben erg geschrokken!	Ieri sera sono tornato a casa e c’era un cavallo nel corridoio. Mi sono molto spaventato!
sociaal	sociaal	Esther is heel sociaal en vriendelijk. Ze vind het leuk om met andere mensen te praten.	Esther è molto socievole e amichevole. Le piace parlare con altre persone.
spijten	"spijten (speet, h. gespeten)"	Ik heb je glas gebroken. Het spijt me!	Ho rotto il tuo bicchiere. Mi dispiace!
systeem	"systeem, het [-temen]"	Dit computersysteem werkt heel precies en efficiënt.	Questo sistema informatico funziona in modo molto preciso ed efficiente.
